x, y, z, phi1, phi2
-0.0221875, -0.0384375, 1e-12, 4.36229123800918, -0.0112540992584896
-0.0215625, -0.0384375, 1e-12, 4.3668217784668, -0.0113525346389077
-0.0209375, -0.0384375, 1e-12, 4.37139049942257, -0.0114386786265188
-0.0203125, -0.0384375, 1e-12, 4.37599218296045, -0.0115109364131795
-0.0396875, -0.0378125, 1e-12, 4.25612057150474, -0.0117129310353502
-0.0390625, -0.0378125, 1e-12, 4.25890829042292, -0.011727343366827
-0.0384375, -0.0378125, 1e-12, 4.26224676125046, -0.0117561102662769
-0.0378125, -0.0378125, 1e-12, 4.26559565190656, -0.0117991158467159
-0.0371875, -0.0378125, 1e-12, 4.26895907368703, -0.0118561853825323
-0.0365625, -0.0378125, 1e-12, 4.27234108080107, -0.0119270842486526
-0.0359375, -0.0378125, 1e-12, 4.2757456534226, -0.0120115165285255
-0.0353125, -0.0378125, 1e-12, 4.27917668027384, -0.0121091233105536
-0.0346875, -0.0378125, 1e-12, 4.28263794064928, -0.0122194806978038
-0.0340625, -0.0378125, 1e-12, 4.28613308579602, -0.0123420975615823
-0.0334375, -0.0378125, 1e-12, 4.28966561957557, -0.0124764130752157
-0.0328125, -0.0378125, 1e-12, 4.29323887834302, -0.0126217940706805
-0.0321875, -0.0378125, 1e-12, 4.2968560099925, -0.0127775322671552
-0.0315625, -0.0378125, 1e-12, 4.30051995213237, -0.0129428414274685
-0.0309375, -0.0378125, 1e-12, 4.30423340937033, -0.013116854505457
-0.0303125, -0.0378125, 1e-12, 4.30799882970767, -0.0132986208544874
-0.0296875, -0.0378125, 1e-12, 4.31181838006272, -0.013487103574883
-0.0290625, -0.0378125, 1e-12, 4.31569392096722, -0.0136811770853034
-0.0284375, -0.0378125, 1e-12, 4.31962698050472, -0.0138796250104083
-0.0278125, -0.0378125, 1e-12, 4.32361872758813, -0.0140811384840326
-0.0271875, -0.0378125, 1e-12, 4.32766994470351, -0.0142843149734722
-0.0265625, -0.0378125, 1e-12, 4.33178100027932, -0.014487657736064
-0.0259375, -0.0378125, 1e-12, 4.33595182087414, -0.0146895760237739
-0.0253125, -0.0378125, 1e-12, 4.34018186341102, -0.0148883861546094
-0.0246875, -0.0378125, 1e-12, 4.34447008772315, -0.0150823135711794
-0.0240625, -0.0378125, 1e-12, 4.34881492971218, -0.0152694960060807
-0.0234375, -0.0378125, 1e-12, 4.35321427545732, -0.0154479878708387
